timestamp,x,y,z,lon,lat,vx,vy,vz,dx,dy,distance,velocity,sdn,sde,sdne
0.0,4276486.47,644324.46,4672921.21,8.56812514386,47.4077569041,0.01,-0.01,-0.03,0.0,0.0,0.0,0.0141421356237,1.346,1.206,-0.302
0.201,4276486.45,644324.44,4672921.17,8.56812492133,47.4077568113,0.0,0.0,-0.03,-0.0167653081412,-0.0103302479024,0.0196923736201,0.0,1.344,1.207,-0.302
0.397,4276486.44,644324.42,4672921.14,8.56812467905,47.4077567139,0.0,0.0,-0.03,-0.0350176502968,-0.0211730657949,0.0409224158719,0.0,1.342,1.21,-0.3
0.6,4276486.43,644324.39,4672921.11,8.56812430578,47.4077566264,0.0,-0.01,-0.02,-0.0631396808718,-0.0309177662062,0.0706849391146,0.01,1.339,1.212,-0.299
0.799,4276486.41,644324.38,4672921.06,8.56812421425,47.4077564629,0.0,0.0,-0.03,-0.0700353011289,-0.0491219410349,0.0901513604581,0.0,1.337,1.215,-0.297
0.999,4276486.41,644324.38,4672921.09,8.56812421425,47.4077566455,-0.01,0.02,-0.01,-0.0700353011289,-0.0287945095357,0.110478791957,0.022360679775,1.335,1.218,-0.293
1.2,4276486.42,644324.34,4672921.07,8.56812367049,47.4077564977,0.0,0.01,-0.01,-0.111001088286,-0.0452420434732,0.154623067804,0.01,1.333,1.218,-0.291
1.4,4276486.42,644324.34,4672921.04,8.56812367049,47.4077563151,0.0,0.02,-0.02,-0.111001088286,-0.0655694773453,0.174950501676,0.02,1.333,1.217,-0.29
1.601,4276486.41,644324.33,4672921.02,8.56812355923,47.4077562687,0.0,0.02,-0.02,-0.119383742691,-0.070734600901,0.184796688563,0.02,1.332,1.216,-0.289
1.797,4276486.4,644324.31,4672921.0,8.56812331695,47.4077562322,-0.01,0.01,-0.02,-0.137636085382,-0.0748016085574,0.203496650194,0.0141421356237,1.331,1.215,-0.287
2.001,4276486.41,644324.31,4672921.01,8.56812329722,47.4077562276,0.0,0.01,-0.01,-0.139123119262,-0.0753141785476,0.2050695449,0.01,1.33,1.214,-0.285
2.201,4276486.38,644324.28,4672920.99,8.56812296342,47.4077563319,-0.01,0.0,-0.01,-0.164271082879,-0.0637063074794,0.23276724778,0.01,1.332,1.214,-0.283
2.399,4276486.37,644324.28,4672920.96,8.56812298315,47.4077562147,-0.01,0.0,-0.01,-0.162784048999,-0.0767453603343,0.245890820811,0.01,1.334,1.215,-0.284
2.599,4276486.34,644324.27,4672920.93,8.56812291136,47.4077562384,-0.02,-0.01,-0.01,-0.168192636045,-0.0741095344646,0.251907496957,0.022360679775,1.337,1.218,-0.283
2.799,4276486.37,644324.28,4672920.95,8.56812298315,47.4077561539,0.0,0.0,-0.01,-0.162784048999,-0.0835211705704,0.262762528418,0.0,1.34,1.22,-0.281
2.999,4276486.3,644324.24,4672920.9,8.5681225973,47.4077563473,-0.03,-0.01,-0.01,-0.19185356645,-0.0619890934062,0.298938033831,0.0316227766017,1.343,1.223,-0.281
3.195,4276486.3,644324.24,4672920.88,8.5681225973,47.4077562255,-0.02,-0.01,-0.02,-0.19185356645,-0.0755407146694,0.312489655094,0.022360679775,1.348,1.226,-0.279
3.399,4276486.3,644324.23,4672920.86,8.5681224663,47.4077561137,-0.01,-0.01,-0.03,-0.201723255271,-0.0879942208242,0.328379921705,0.0141421356237,1.354,1.231,-0.279
3.599,4276486.32,644324.24,4672920.86,8.56812255783,47.4077559729,-0.01,0.0,-0.02,-0.194827634211,-0.103669099549,0.345504506746,0.01,1.359,1.236,-0.279
3.799,4276486.33,644324.26,4672920.89,8.5681228001,47.4077560703,0.0,0.02,-0.02,-0.176575290718,-0.0928262816563,0.366734550149,0.02,1.359,1.241,-0.278
4.0,4276486.33,644324.27,4672920.88,8.5681229311,47.4077559995,0.0,0.02,-0.03,-0.166705602298,-0.100700208583,0.379360296651,0.02,1.359,1.247,-0.277
4.2,4276486.34,644324.27,4672920.89,8.56812291136,47.4077559949,0.01,0.02,-0.03,-0.168192636045,-0.101212778573,0.380933191231,0.022360679775,1.359,1.25,-0.279
4.4,4276486.35,644324.25,4672920.92,8.56812262962,47.4077561318,0.02,0.0,-0.02,-0.189419046898,-0.0859774931284,0.407061230581,0.02,1.36,1.253,-0.282
4.597,4276486.33,644324.25,4672920.95,8.56812266909,47.4077564453,0.01,0.0,-0.01,-0.186444979405,-0.0510732988038,0.442091900841,0.01,1.36,1.257,-0.284
4.799,4276486.33,644324.23,4672920.98,8.56812240708,47.4077566477,0.01,0.0,0.0,-0.206184356511,-0.0285496331332,0.472041166672,0.01,1.36,1.262,-0.284
5.0,4276486.26,644324.21,4672920.95,8.56812228324,47.4077569431,0.0,0.0,0.0,-0.215514497525,0.0043378334955,0.506226499676,0.0,1.362,1.267,-0.285
5.2,4276486.19,644324.2,4672920.87,8.5681222904,47.4077569243,-0.01,0.0,-0.02,-0.21497495012,0.00224812750784,0.50838473565,0.01,1.367,1.274,-0.288
5.399,4276486.19,644324.22,4672920.87,8.56812255241,47.4077569046,0.0,0.01,-0.01,-0.195235572344,5.18949183818e-05,0.528245915689,0.01,1.372,1.281,-0.292
5.599,4276486.18,644324.21,4672920.83,8.56812244114,47.4077567365,0.0,0.01,-0.02,-0.203618227418,-0.0186648506914,0.548754096309,0.01,1.378,1.288,-0.293
5.799,4276486.17,644324.2,4672920.83,8.56812232988,47.4077568118,0.01,0.0,-0.02,-0.212000882493,-0.010278353775,0.560611677707,0.01,1.384,1.296,-0.292
5.999,4276486.14,644324.18,4672920.79,8.56812212708,47.4077567845,0.01,0.0,-0.02,-0.227279159028,-0.0133202214511,0.576189825635,0.01,1.39,1.304,-0.29
6.2,4276486.12,644324.17,4672920.75,8.56812203555,47.4077566818,0.01,0.0,-0.03,-0.234174780624,-0.0247485860437,0.589537376513,0.01,1.395,1.312,-0.287
6.4,4276486.12,644324.15,4672920.74,8.56812177354,47.4077566407,0.02,0.0,-0.03,-0.253914158801,-0.0293281652722,0.609801028621,0.02,1.402,1.321,-0.285
6.599,4276486.09,644324.15,4672920.71,8.56812183276,47.4077566545,0.01,0.01,-0.03,-0.249453057561,-0.0277904545108,0.614519712617,0.0141421356237,1.408,1.33,-0.282
6.799,4276486.07,644324.15,4672920.67,8.56812187223,47.407756542,0.01,0.01,-0.04,-0.246478990068,-0.0403169381665,0.627394411458,0.0141421356237,1.413,1.339,-0.28
6.999,4276486.05,644324.15,4672920.64,8.56812191171,47.4077564903,0.01,0.01,-0.04,-0.243504922574,-0.0460676076312,0.633868612316,0.0141421356237,1.419,1.347,-0.275
7.198,4276486.01,644324.12,4672920.64,8.56812159765,47.4077567818,0.0,0.01,-0.03,-0.267165855523,-0.0136197342828,0.674027101242,0.01,1.415,1.356,-0.253
7.399,4276485.96,644324.05,4672920.63,8.5681207793,47.4077571173,0.0,-0.01,-0.02,-0.328818513221,0.0237331758167,0.746112398592,0.01,1.41,1.363,-0.234
7.6,4276485.92,644324.03,4672920.61,8.56812059625,47.4077572772,0.0,-0.01,-0.02,-0.342609757883,0.0415313112119,0.768628438495,0.01,1.407,1.371,-0.216
7.799,4276485.89,644323.98,4672920.63,8.56812000044,47.4077576447,0.0,-0.02,-0.01,-0.387497105566,0.0824386605596,0.829359692497,0.02,1.405,1.379,-0.198
7.999,4276485.88,644323.96,4672920.61,8.56811975817,47.4077576082,0.01,-0.02,-0.02,-0.405749451603,0.0783716521122,0.848059657565,0.022360679775,1.403,1.388,-0.178
8.199,4276485.86,644323.92,4672920.6,8.56811927362,47.4077577177,0.01,-0.03,-0.02,-0.44225414381,0.0905650690895,0.88654695379,0.0316227766017,1.4,1.396,-0.155
8.399,4276485.86,644323.87,4672920.65,8.5681186186,47.4077580714,0.0,-0.04,0.0,-0.491602593134,0.129934706885,0.949675693923,0.04,1.399,1.405,-0.128
8.595,4276485.83,644323.87,4672920.61,8.56811867781,47.4077580243,0.01,-0.03,-0.01,-0.487141493098,0.12469660741,0.956556035458,0.0316227766017,1.397,1.416,-0.099
8.798,4276485.79,644323.82,4672920.58,8.56811810174,47.4077581529,0.0,-0.04,-0.02,-0.530541810112,0.139013280267,1.00225674266,0.04,1.395,1.427,-0.057
8.999,4276485.78,644323.81,4672920.61,8.56811799047,47.4077584109,0.0,-0.03,-0.01,-0.538924466926,0.167727211847,1.03216926181,0.03,1.394,1.437,0.051
9.198,4276485.76,644323.8,4672920.63,8.56811789895,47.4077586734,0.0,-0.03,-0.01,-0.545820090663,0.196953714207,1.06219821562,0.03,1.393,1.447,0.095
9.398,4276485.76,644323.78,4672920.65,8.56811763694,47.4077588149,0.0,-0.02,0.0,-0.565559470848,0.212701568851,1.08744971173,0.02,1.392,1.458,0.121
9.598,4276485.72,644323.77,4672920.63,8.56811758488,47.4077589649,0.0,-0.01,-0.01,-0.569481028429,0.229401589929,1.1046039916,0.01,1.391,1.468,0.142
9.799,4276485.73,644323.75,4672920.65,8.56811730314,47.4077590409,0.01,-0.01,-0.01,-0.590707442227,0.237861061973,1.12745400933,0.0141421356237,1.39,1.479,0.159
9.994,4276485.73,644323.75,4672920.66,8.56811730314,47.4077591018,0.01,0.0,-0.02,-0.590707442227,0.244636873,1.13422982035,0.01,1.39,1.49,0.176
10.199,4276485.75,644323.76,4672920.69,8.56811739467,47.4077591435,0.02,0.01,-0.02,-0.583811818089,0.249289427357,1.14254822731,0.022360679775,1.39,1.502,0.194
10.397,4276485.7,644323.82,4672920.65,8.56811827938,47.4077591682,0.0,0.04,-0.02,-0.517158510943,0.252039396103,1.20925823917,0.04,1.391,1.515,0.209
